gene_id	gene_name	gene_biotype	transcript_id	transcript_name	transcript_biotype	chromosome	start	end	strand	is_ensembl_canonical	tags
ENSG00000189337	KAZN	protein_coding	ENST00000376030	KAZN-203	protein_coding	1	14598685	15118043	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000274944		protein_coding	ENST00000621281		protein_coding	1	38864529	38881602	-	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000276747	PADI6	protein_coding	ENST00000619609	PADI6-201	protein_coding	1	17372196	17401699	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000283039	KLF18	protein_coding	ENST00000634670	KLF18-201	protein_coding	1	44137821	44141631	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000131233	GJA9	protein_coding	ENST00000357771	GJA9-201	protein_coding	1	38874069	38881587	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000283761		protein_coding	ENST00000639037		protein_coding	1	99970018	100082494	+	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000134200	TSHB	protein_coding	ENST00000256592	TSHB-201	protein_coding	1	115029826	115034302	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000271092	TLCD4-RWDD3	protein_coding	ENST00000604534	TLCD4-RWDD3-202	protein_coding	1	95117923	95244955	+	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000184155	OR10J5	protein_coding	ENST00000334857	OR10J5-201	protein_coding	1	159535078	159536007	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000157060	SHCBP1L	protein_coding	ENST00000367547	SHCBP1L-201	protein_coding	1	182899865	182953166	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000287856		protein_coding	ENST00000662216		protein_coding	1	231365938	231528602	-	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000116903	EXOC8	protein_coding	ENST00000366645	EXOC8-201	protein_coding	1	231332753	231337852	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000253148	RGS21	protein_coding	ENST00000417209	RGS21-201	protein_coding	1	192316992	192367285	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000203737	GPR52	protein_coding	ENST00000367685	GPR52-201	protein_coding	1	174447964	174449545	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000183114	FAM43B	protein_coding	ENST00000332947	FAM43B-201	protein_coding	1	20552573	20555020	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000243284	VSIG8	protein_coding	ENST00000368100	VSIG8-201	protein_coding	1	159854316	159862657	-	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000251246	EFNA4-EFNA3	protein_coding	ENST00000505139	EFNA4-EFNA3-201	protein_coding	1	155063748	155086807	+	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000273088		protein_coding	ENST00000473363		protein_coding	1	155169409	155187272	-	1	cds_end_NF,cds_start_NF,mRNA_end_NF,mRNA_start_NF,gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000251503	CENPS-CORT	protein_coding	ENST00000602787	CENPS-CORT-205	protein_coding	1	10430435	10451411	+	1	gencode_basic,gencode_primary,Ensembl_canonical
ENSG00000177489	OR2G2	protein_coding	ENST00000320065	OR2G2-201	protein_coding	1	247588360	247589313	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
ENSG00000177476	OR2G3	protein_coding	ENST00000320002	OR2G3-201	protein_coding	1	247605586	247606515	+	1	CCDS,gencode_basic,gencode_primary,MANE_Select,Ensembl_canonical
