gene_id	gene_name	transcript_id	transcript_name	chrom_gtf	chrom_fasta	strand	tis_genomic_pos	window_start_1based	window_end_1based	bed_start_0based	bed_end	upstream	downstream	window_length
ENSG00000189337	KAZN	ENST00000376030	KAZN-203	1	1	+	14598998	14598498	14599497	14598497	14599497	500	500	1000
ENSG00000274944		ENST00000621281		1	1	-	38881467	38880968	38881967	38880967	38881967	500	500	1000
ENSG00000276747	PADI6	ENST00000619609	PADI6-201	1	1	+	17372246	17371746	17372745	17371745	17372745	500	500	1000
ENSG00000283039	KLF18	ENST00000634670	KLF18-201	1	1	-	44141631	44141132	44142131	44141131	44142131	500	500	1000
ENSG00000131233	GJA9	ENST00000357771	GJA9-201	1	1	-	38876098	38875599	38876598	38875598	38876598	500	500	1000
ENSG00000283761		ENST00000639037		1	1	+	99993555	99993055	99994054	99993054	99994054	500	500	1000
ENSG00000134200	TSHB	ENST00000256592	TSHB-201	1	1	+	115033363	115032863	115033862	115032862	115033862	500	500	1000
ENSG00000271092	TLCD4-RWDD3	ENST00000604534	TLCD4-RWDD3-202	1	1	+	95143902	95143402	95144401	95143401	95144401	500	500	1000
ENSG00000184155	OR10J5	ENST00000334857	OR10J5-201	1	1	-	159536007	159535508	159536507	159535507	159536507	500	500	1000
ENSG00000157060	SHCBP1L	ENST00000367547	SHCBP1L-201	1	1	-	182953133	182952634	182953633	182952633	182953633	500	500	1000
ENSG00000287856		ENST00000662216		1	1	-	231462467	231461968	231462967	231461967	231462967	500	500	1000
ENSG00000116903	EXOC8	ENST00000366645	EXOC8-201	1	1	-	231337745	231337246	231338245	231337245	231338245	500	500	1000
ENSG00000253148	RGS21	ENST00000417209	RGS21-201	1	1	+	192343037	192342537	192343536	192342536	192343536	500	500	1000
ENSG00000203737	GPR52	ENST00000367685	GPR52-201	1	1	+	174448112	174447612	174448611	174447611	174448611	500	500	1000
ENSG00000183114	FAM43B	ENST00000332947	FAM43B-201	1	1	+	20552974	20552474	20553473	20552473	20553473	500	500	1000
ENSG00000243284	VSIG8	ENST00000368100	VSIG8-201	1	1	-	159862521	159862022	159863021	159862021	159863021	500	500	1000
ENSG00000251246	EFNA4-EFNA3	ENST00000505139	EFNA4-EFNA3-201	1	1	+	155063824	155063324	155064323	155063323	155064323	500	500	1000
ENSG00000251503	CENPS-CORT	ENST00000602787	CENPS-CORT-205	1	1	+	10430518	10430018	10431017	10430017	10431017	500	500	1000
ENSG00000177489	OR2G2	ENST00000320065	OR2G2-201	1	1	+	247588360	247587860	247588859	247587859	247588859	500	500	1000
ENSG00000177476	OR2G3	ENST00000320002	OR2G3-201	1	1	+	247605586	247605086	247606085	247605085	247606085	500	500	1000
ENSG00000260238	PMF1-BGLAP	ENST00000490491	PMF1-BGLAP-203	1	1	+	156213016	156212516	156213515	156212515	156213515	500	500	1000
ENSG00000254726	MEX3A	ENST00000532414	MEX3A-202	1	1	-	156081998	156081499	156082498	156081498	156082498	500	500	1000
ENSG00000186160	CYP4Z1	ENST00000334194	CYP4Z1-201	1	1	+	47067491	47066991	47067990	47066990	47067990	500	500	1000
ENSG00000186790	FOXE3	ENST00000335071	FOXE3-201	1	1	+	47416316	47415816	47416815	47415815	47416815	500	500	1000
ENSG00000189030	VHLL	ENST00000339922	VHLL-201	1	1	-	156299189	156298690	156299689	156298689	156299689	500	500	1000
ENSG00000162763	LRRC52	ENST00000294818	LRRC52-201	1	1	+	165544297	165543797	165544796	165543796	165544796	500	500	1000
ENSG00000186564	FOXD2	ENST00000334793	FOXD2-201	1	1	+	47438136	47437636	47438635	47437635	47438635	500	500	1000
ENSG00000173080	RXFP4	ENST00000368318	RXFP4-201	1	1	+	155941710	155941210	155942209	155941209	155942209	500	500	1000
ENSG00000121634	GJA8	ENST00000369235	GJA8-201	1	1	+	147907956	147907456	147908455	147907455	147908455	500	500	1000
ENSG00000244020	MT1HL1	ENST00000464121	MT1HL1-201	1	1	-	237004372	237003873	237004872	237003872	237004872	500	500	1000
ENSG00000134249	ADAM30	ENST00000369400	ADAM30-201	1	1	-	119896336	119895837	119896836	119895836	119896836	500	500	1000
ENSG00000173110	HSPA6	ENST00000309758	HSPA6-201	1	1	+	161524659	161524159	161525158	161524158	161525158	500	500	1000
ENSG00000143105	KCNA10	ENST00000369771	KCNA10-201	1	1	-	110518787	110518288	110519287	110518287	110519287	500	500	1000
ENSG00000215915	ATAD3C	ENST00000378785	ATAD3C-201	1	1	+	1450684	1450184	1451183	1450183	1451183	500	500	1000
ENSG00000178828	RNF186	ENST00000375121	RNF186-201	1	1	-	19815101	19814602	19815601	19814601	19815601	500	500	1000
ENSG00000188784	PLA2G2E	ENST00000375116	PLA2G2E-201	1	1	-	19923559	19923060	19924059	19923059	19924059	500	500	1000
ENSG00000177186	OR2M7	ENST00000317965	OR2M7-201	1	1	-	248324568	248324069	248325068	248324068	248325068	500	500	1000
ENSG00000177174	OR14C36	ENST00000317861	OR14C36-201	1	1	+	248348775	248348275	248349274	248348274	248349274	500	500	1000
ENSG00000162456	KNCN	ENST00000481882	KNCN-203	1	1	-	46551215	46550716	46551715	46550715	46551715	500	500	1000
ENSG00000196539	OR2T3	ENST00000359594	OR2T3-201	1	1	+	248473351	248472851	248473850	248472850	248473850	500	500	1000
ENSG00000203661	OR2T5	ENST00000641363	OR2T5-201	1	1	+	248488589	248488089	248489088	248488088	248489088	500	500	1000
ENSG00000183310	OR2T34	ENST00000328782	OR2T34-201	1	1	-	248574757	248574258	248575257	248574257	248575257	500	500	1000
ENSG00000187238	LCE3B	ENST00000335633	LCE3B-201	1	1	+	152613811	152613311	152614310	152613310	152614310	500	500	1000
ENSG00000185962	LCE3A	ENST00000335674	LCE3A-201	1	1	-	152623103	152622604	152623603	152622603	152623603	500	500	1000
ENSG00000159455	LCE2B	ENST00000368780	LCE2B-201	1	1	+	152686844	152686344	152687343	152686343	152687343	500	500	1000
ENSG00000187173	LCE2A	ENST00000368779	LCE2A-201	1	1	+	152698902	152698402	152699401	152698401	152699401	500	500	1000
ENSG00000204501	PRAMEF15	ENST00000376152	PRAMEF15-201	1	1	+	13318408	13317908	13318907	13317907	13318907	500	500	1000
ENSG00000204481	PRAMEF14	ENST00000334600	PRAMEF14-201	1	1	-	13345314	13344815	13345814	13344814	13345814	500	500	1000
ENSG00000204479	PRAMEF17	ENST00000376098	PRAMEF17-201	1	1	+	13389658	13389158	13390157	13389157	13390157	500	500	1000
ENSG00000228594	FNDC10	ENST00000422725	FNDC10-201	1	1	-	1600015	1599516	1600515	1599515	1600515	500	500	1000
ENSG00000186306	OR10T2	ENST00000334438	OR10T2-201	1	1	-	158399466	158398967	158399966	158398966	158399966	500	500	1000
ENSG00000198890	PRMT6	ENST00000370078	PRMT6-201	1	1	+	107056716	107056216	107057215	107056215	107057215	500	500	1000
ENSG00000162526	TSSK3	ENST00000373534	TSSK3-201	1	1	+	32362702	32362202	32363201	32362201	32363201	500	500	1000
ENSG00000288636		ENST00000617114		1	1	-	17011757	17011258	17012257	17011257	17012257	500	500	1000
ENSG00000274764	PRAMEF27	ENST00000436041	PRAMEF27-201	1	1	-	13053659	13053160	13054159	13053159	13054159	500	500	1000
ENSG00000275774	HNRNPCL2	ENST00000621994	HNRNPCL2-202	1	1	-	13116400	13115901	13116900	13115900	13116900	500	500	1000
ENSG00000179412	HNRNPCL4	ENST00000323770	HNRNPCL4-201	1	1	-	13165467	13164968	13165967	13164967	13165967	500	500	1000
ENSG00000277058	HNRNPCL3	ENST00000617807	HNRNPCL3-201	1	1	+	13061325	13060825	13061824	13060824	13061824	500	500	1000
ENSG00000073756	PTGS2	ENST00000367468	PTGS2-201	1	1	-	186680290	186679791	186680790	186679790	186680790	500	500	1000
ENSG00000057468	MSH4	ENST00000263187	MSH4-201	1	1	+	75796986	75796486	75797485	75796485	75797485	500	500	1000
ENSG00000237330	RNF223	ENST00000453464	RNF223-201	1	1	-	1072566	1072067	1073066	1072066	1073066	500	500	1000
